,Date,Time (Range),Weather & Air Temp (F),H2O Temp. (°C/°F),High Tide,DO (ppm),pH,Salinity (ppt),Turbidity (NTU),# of student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Common Name (or Taxon) - POOLED DATA ,Quantity,Kept/Released,Comments,Kept
0,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"bass, striped (n)",5,Kept,,5
1,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"silverside, Atlantic (n)",4,Released,,0
2,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"anchovy, bay (n)",50,Released,,0
3,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"tomcod, Atlantic (n)",5,Kept,,5
4,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,alewife (n),1,Released,,0
5,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,tautog (blackfish) (n),1,Released,,0
6,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,skilletfish (n),1,Released,,0
7,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Sand Shrimp,15,Released,,0
8,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Grass Shrimp (Shore Shrimp),10,Released,,0
9,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Periwinkle, Common ",3,Released,,0
10,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,Soft-shell Clam (Steamer Clam),3,Released,,0
11,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mussel, Ribbed ",3,Released,,0
12,2019-05-30,9:30am-1:00pm,,66,7:08am,9.57,7.9,17.47,48.1,,,,22,"Mudsnail, Eastern ",117,Released,,0
13,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,bluefish (n),1,Released,,0
14,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,tautog (blackfish) (n),1,Released,,0
15,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,alewife (n),1,Released,,0
16,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"menhaden, Atlantic (n)",6,Released,,0
17,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"tomcod, Atlantic (n)",11,Released,,0
18,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"pipefish, northern (n)",1,Released,,0
19,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,Sand Shrimp,13,Released,Length is Body Length,0
20,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,Grass Shrimp (Shore Shrimp),44,Released,Length is Body Length,0
21,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,Blue Crab,3,Released,Length is Carapace Width,0
22,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"Mussel, Ribbed ",2,Released,,0
23,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,Soft-shell Clam (Steamer Clam),1,Released,,0
24,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"Periwinkle, Common ",6,Released,,0
25,2019-06-01,11:30am-1:00pm,,64,7:57am,7-8,9.8,20.0,,,,,27,"Mudsnail, Eastern ",44,Released,,0
26,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,"silverside, Atlantic (n)",5,Released,St. Francis after school,0
27,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,"menhaden, Atlantic (n)",3,Released,St. Francis after school,0
28,2019-06-12,4:15pm-5:20pm,,66,5:53pm,8,7.7,16.7,21.0,,,,6,Grass Shrimp (Shore Shrimp),1,Released,St. Francis after school,0
30,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"silverside, Atlantic (n)",22,Released,,0
31,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"tomcod, Atlantic (n)",22,Released,,0
32,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,bluefish (n),2,Released,,0
33,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"herring, blueback (n)",1,Released,,0
34,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,tautog (blackfish) (n),1,Released,,0
35,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Sand Shrimp,5,Released,,0
36,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Grass Shrimp (Shore Shrimp),2,Released,,0
37,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Mussel, Ribbed ",5,Released,,0
38,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Soft-shell Clam (Steamer Clam),2,Released,,0
39,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,Clam Worm (Sandworm),1,Released,Specimen was an epitoke.,0
40,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Mudsnail, Eastern ",10,Released,,0
41,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Hermit Crab, Long-wristed ",1,Released,,0
42,2019-06-22,6:00pm-7:30pm,,70,1:31pm,6-7,7.95,13.81,9.506058516050945,,,,18,"Periwinkle, Common ",1,Released,,0
43,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4",bluefish (n),4,Released,,0
44,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","silverside, Atlantic (n)",8,Released,CT stated all silversides were similar in size.,0
45,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","bass, striped (n)",2,Released,,0
46,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4",Clam Worm (Sandworm),1,Released,,0
47,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4",Moon Jelly,3,Released,,0
48,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","Mudsnail, Eastern ",9,Released,,0
49,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","Hermit Crab, Long-wristed ",1,Released,,0
50,2019-06-26,2:12pm-n/a,,73,4:52pm,8.3,8.05,12.5,10.654571840730286,,,,"7, 4","Horseshoe Crab, Atlantic",2,Released,mating pair,0
0,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"pipefish, northern (n)",2,Released,"Very small, less than 10cm",0
1,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"tomcod, Atlantic (n)",2,Released,,0
2,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"silverside, Atlantic (n)",3,Released,,0
3,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,skilletfish (n),4,Released,,0
4,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,spot (Lafayette) (n),3,Released,,0
7,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,bluefish (n),7,Released,,0
8,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"Mudsnail, Eastern ",21,Released,some shells a little deformed/oddly shaped,0
9,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"menhaden, Atlantic (n)",3,Released,,0
10,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"Periwinkle, Common ",2,Released,,0
11,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"Hermit Crab, Long-wristed ",1,Released,,0
12,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,"Mussel, Ribbed ",2,Released,small,0
13,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,Soft-shell Clam (Steamer Clam),1,Released,teeny tiny,0
14,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,Grass Shrimp (Shore Shrimp),18,Released,,0
15,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,Sand Shrimp,2,Released,darker in color; ID not certain?,0
16,2019-07-11,10:00am-1:00pm,,79,4:49am,7.73,7.7,21.68,31.0,,,,17,Blue Crab,3,Released,all less than 1 inch (carapace?),0
17,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","silverside, Atlantic (n)",17,Released,,0
18,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","bass, striped (n)",1,Released,,0
19,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","toadfish, oyster (n)",1,Released,,0
20,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","tomcod, Atlantic (n)",1,Released,,0
21,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","flounder, winter (n)",1,Released,,0
22,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","pipefish, northern (n)",1,Released,,0
23,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","Hermit Crab, Long-wristed ",1,Released,,0
24,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7",Grass Shrimp (Shore Shrimp),4,Released,,0
25,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7",Sand Shrimp,1,Released,,0
26,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7",Isopod,1,Released,,0
27,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7",skilletfish (n),1,Released,,0
28,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","perch, white (n)",1,Kept - Isopropyl,,1
29,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7",tautog (blackfish) (n),2,Kept - Isopropyl,one was green; both had about four bands on dorsal fin,2
30,2019-07-13,10:30am-12:00pm,,76,6:51am,6.47,7.84,20.98,37.8,,,,"4, 7","menhaden, Atlantic (n)",3,Kept - Isopropyl,"Long, overlapping dorsal and anal fins",2
35,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"silverside, Atlantic (n)",321,Released,,0
36,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"tomcod, Atlantic (n)",3,Released,,0
37,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"puffer, northern (n)",2,Kept - AMNH,,2
38,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,Grass Shrimp (Shore Shrimp),5,Released,,0
39,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,Sand Shrimp,1,Released,,0
40,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"Hermit Crab, Long-wristed ",6,Kept - Ed Center,,6
41,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,Isopod,1,Released,,0
42,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"Mudsnail, Eastern ",4,Released,,0
43,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,Blue Crab,1,Released,,0
44,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,Soft-shell Clam (Steamer Clam),1,Released,,0
45,2019-07-25,10:00am-11:45am,,80,2:54am,7,7.0,26,,,,,17,"Mussel, Blue",2,Released,,0
46,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"silverside, Atlantic (n)",114,Released,did not measure,0
47,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,bluefish (n),5,Released,,0
48,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"menhaden, Atlantic (n)",2,Released,,0
49,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"herring, Atlantic (n)",1,Released,,0
50,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"Hermit Crab, Long-wristed ",1,Released,,0
51,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"Mudsnail, Eastern ",2,Released,,0
52,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,Soft-shell Clam (Steamer Clam),2,Released,,0
53,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,"Mussel, Ribbed ",2,Released,,0
54,2019-08-07,10:15-10:50am,,77,3:01pm,8,8.4,23.13,14.3,,,,4,Comb Jelly ,4,Released,,0
55,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"pipefish, northern (n)",5,Released,Great Hudson River Fish Count,0
60,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"silverside, Atlantic (n)",362,Released,Great Hudson River Fish Count,0
61,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,tautog (blackfish) (n),2,Released,Great Hudson River Fish Count,0
62,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"perch, silver (n)",8,Released,Great Hudson River Fish Count,0
63,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"anchovy, bay (n)",12,Released,Great Hudson River Fish Count,0
64,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"menhaden, Atlantic (n)",1,Released,Great Hudson River Fish Count,0
65,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"needlefish, Atlantic (n)",1,Released,Great Hudson River Fish Count; observed only,0
66,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,Blue Crab,5,Released,Great Hudson River Fish Count,0
71,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,Grass Shrimp (Shore Shrimp),3,Released,Great Hudson River Fish Count,0
72,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"Mudsnail, Eastern ",3,Released,Great Hudson River Fish Count,0
73,2019-08-10,11:00am-1:00pm,,77,5:23am,7-8,,24,,,,,,"Hermit Crab, Long-wristed ",1,Released,Great Hudson River Fish Count,0
74,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,"anchovy, bay (n)",6,Released,school group,0
75,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,bluefish (n),5,Released,school group,0
76,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,"needlefish, Atlantic (n)",2,Released,school group,0
77,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,"silverside, Atlantic (n)",167,Released,school group,0
78,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,"Mudsnail, Eastern ",7,Released,school group,0
79,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,Blue Crab,1,Released,school group,0
80,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,"Mussel, Ribbed ",1,Released,school group,0
81,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,Moon Jelly,18,Released,school group,0
82,2019-08-14,10:00-11:20am,,75,8:48am,5.18,8.07,23.32,7.5,,,,,Comb Jelly ,1,Released,school group,0
83,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"anchovy, striped (n)",3,Released,Public seine,0
84,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"menhaden, Atlantic (n)",91,Released,Public seine,0
85,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"silverside, Atlantic (n)",232,Released,Public seine,0
86,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"eel, American (n)",1,Released,Public seine,0
87,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"flounder, winter (n)",1,Released,Public seine,0
88,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"perch, silver (n)",51,Released,Public seine,0
89,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,tautog (blackfish) (n),1,Released,Public seine,0
90,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"pipefish, northern (n)",1,Released,Public seine,0
91,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,skilletfish (n),2,Released,Public seine,0
92,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"Horseshoe Crab, Atlantic",3,Released,"Public seine, body length?",0
93,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,Blue Crab,1,Released,Public seine; carapace length,0
94,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,"cunner (bergall, chogy) (n)",1,Released,Public seine,0
95,2019-08-31,4:10-6:00pm,,75,9:49am,6.5,8.2,22.6,,,,,,Grass Shrimp (Shore Shrimp),4,Released,Public seine,0
