Grouped Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Grouped Corrected Common Name,Total Caught
american eel,0,0,0,0,2,3,0,0,1,1,0,2,9,4,,Total Caught Per Year,11144
american shad,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,atlantic silverside,4478
amphipod,0,0,3,2,0,0,0,4,40,0,0,0,49,4,,comb jelly,2622
anemone,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,sea snail,582
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,0,200,8,,shrimp,560
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,112,244,5,,tunicates,285
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,2118,4478,11,,bay anchovy,265
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,44,102,7,,herring,249
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,68,265,8,,atlantic menhaden,244
black sea bass,0,0,0,0,0,1,0,0,21,1,0,0,23,3,,striped bass,219
blue crab,1,1,10,32,12,4,4,7,16,22,16,15,140,11,,jellyfish,203
bluefish,0,0,6,2,3,37,1,5,0,1,11,28,94,8,,asian shore crab,200
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,blue crab,140
box crab,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,atlantic tomcod,102
clam,0,0,0,0,0,0,0,0,1,8,1,11,21,3,,bluefish,94
comb jelly,1,1,14,393,170,505,86,58,887,347,123,37,2622,11,,oyster,90
cunner,0,0,0,0,1,0,0,1,6,2,0,1,11,4,,hermit crab,82
flatfish,1,0,9,7,8,1,7,10,7,9,6,4,69,10,,silver perch,72
green crab,0,1,1,7,8,0,1,0,10,0,2,0,30,7,,flatfish,69
grubby,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,porgy,68
hermit crab,1,1,2,2,3,1,1,8,1,1,38,23,82,11,,northern pipefish,68
herring,0,0,0,66,10,1,2,13,0,143,4,10,249,7,,mussel,58
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,7,9,1,,amphipod,49
hydrozoa,0,1,0,1,0,0,0,0,0,0,0,0,2,2,,unidentified shrimp,44
isopod,0,0,0,1,0,0,0,1,0,0,0,2,4,2,,green crab,30
jellyfish,1,1,9,87,1,26,2,4,3,22,20,27,203,11,,tautog,29
lady crab,1,0,1,0,0,0,0,4,3,2,0,0,11,5,,black sea bass,23
mole crab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,clam,21
mud crab,0,0,0,0,1,2,0,0,4,4,0,0,11,4,,skilletfish,15
mullet fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,striped anchovy,14
mussel,0,0,1,0,2,0,0,9,13,3,12,18,58,6,,polychaete worm,14
naked goby,0,0,0,1,0,0,0,0,1,0,0,0,2,2,,oyster toadfish,14
needlefish,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,lady crab,11
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,0,8,6,,mud crab,11
northern pipefish,1,2,10,5,5,1,1,6,7,4,13,13,68,11,,cunner,11
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,0,3,3,,white perch,9
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,american eel,9
oyster,0,0,0,17,0,0,0,0,30,43,0,0,90,3,,horseshoe crab,9
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,2,14,8,,northern kingfish,8
periwinkle snail,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,puffer,7
pollock,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,spotted hake,6
polychaete worm,0,0,2,1,1,0,0,1,3,2,1,3,14,7,,sea robin,5
porgy,0,0,0,0,3,0,3,40,13,0,6,3,68,5,,isopod,4
puffer,0,0,4,0,1,0,0,0,0,0,0,2,7,2,,needlefish,4
sculpin,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,box crab,4
sea robin,1,0,1,0,0,0,0,0,3,0,0,0,5,3,,sponge,3
sea snail,0,1,2,73,22,2,0,9,113,57,59,244,582,9,,wrasel sea bass,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,unidentified fish,3
sennet,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,spot,3
shrimp,3,2,16,129,58,10,9,24,31,74,75,129,560,11,,spider crab,3
silver perch,0,0,0,0,1,0,0,0,1,6,4,60,72,4,,northern seahorse,3
skilletfish,0,0,0,1,1,0,0,0,0,0,4,9,15,3,,periwinkle snail,2
spider crab,0,0,0,1,0,0,0,0,2,0,0,0,3,2,,anemone,2
sponge,0,0,1,0,0,0,0,1,1,0,0,0,3,3,,white mullet,2
spot,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,western mosquito fish,2
spotted hake,0,0,0,0,6,0,0,0,0,0,0,0,6,1,,hydrozoa,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,naked goby,2
striped anchovy,0,0,0,0,0,0,0,0,0,0,0,14,14,0,,mole crab,1
striped bass,1,1,7,24,3,2,35,64,16,43,15,8,219,11,,sculpin,1
striped burrfish,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,bluespotted cornetfish,1
tautog,0,0,0,0,0,0,0,4,1,7,5,12,29,4,,pollock,1
tube worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,grubby,1
tunicates,1,1,0,76,89,2,0,20,64,32,0,0,285,8,,tube worm,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,0,2,3,1,,mullet fish,1
unidentified shrimp,0,0,0,0,0,0,0,0,0,0,0,44,44,0,,striped burrfish,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,spotted whiff,1
white mullet,0,0,0,0,2,0,0,0,0,0,0,0,2,1,,seaboard goby,1
white perch,0,0,0,1,0,0,0,4,0,0,1,3,9,3,,sennet,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,0,0,3,1,,american shad,1
Total Caught Per Year,17,16,123,1345,664,687,213,1381,1699,921,994,3084,11144,11,,northern stargazer,1
