Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
alewife,0,0,0,0,0,0,2,9,0,6,0,0,17,3,,Total Caught Per Year,10371
american eel,0,0,0,0,2,3,0,0,1,1,0,2,9,4,,atlantic silverside,3795
american shad,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,comb jelly,2570
amphipod,0,0,3,2,0,0,0,0,40,0,0,0,45,3,,mud snail,408
anemone,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,bay anchovy,265
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,0,200,8,,atlantic menhaden,236
atlantic herring,0,0,0,0,0,0,0,4,0,0,0,1,5,1,,striped bass,219
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,104,236,5,,unidentified shrimp,215
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,1435,3795,11,,asian shore crab,200
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,44,102,7,,sea squirt,197
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,68,265,8,,shore shrimp,180
black fingered mud crab,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,moon jelly,175
black sea bass,0,0,0,0,0,1,0,0,21,1,0,0,23,3,,blue crab,139
blue crab,1,1,10,32,12,4,4,7,16,22,16,14,139,11,,sand shrimp,132
blue mussel,0,0,1,0,1,0,0,9,2,0,10,2,25,5,,blueback herring,118
blueback herring,0,0,0,0,2,1,0,0,0,114,0,1,118,3,,unidentified herring,109
bluefish,0,0,6,2,3,37,1,5,0,1,11,28,94,8,,unidentified snail,105
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,atlantic tomcod,102
box crab,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,bluefish,94
clam,0,0,0,0,0,0,0,0,1,8,1,11,21,3,,eastern oyster,90
clam worm probably nereis spp,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,silver perch,72
colonial tunicate,0,0,0,0,0,0,0,11,0,0,0,0,11,1,,northern pipefish,65
comb jelly,1,1,14,393,170,485,86,58,887,347,123,5,2570,11,,porgy,64
ctenophore,0,0,0,0,0,20,0,0,0,0,0,0,20,1,,amphipod,45
cunner,0,0,0,0,1,0,0,1,6,2,0,1,11,4,,tunicate,44
eastern oyster,0,0,0,17,0,0,0,0,30,43,0,0,90,3,,long clawed hermit crab,40
glass shrimp,0,0,0,0,0,0,0,3,3,0,0,0,6,2,,winter flounder,40
golden star tunicate,0,0,0,1,0,1,0,1,30,0,0,0,33,4,,grass shrimp shore shrimp,37
grass shrimp shore shrimp,0,0,0,0,0,0,0,0,0,1,0,36,37,1,,golden star tunicate,33
green crab,0,1,1,7,8,0,1,0,10,0,2,0,30,7,,periwinkle,33
grubby,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,seven spine shrimp,32
hogchoker,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,unidentified hermit crab,31
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,7,9,1,,green crab,30
hydrozoa,0,1,3,5,0,0,0,4,0,0,0,0,13,4,,oyster drill snail,27
isopod,0,0,0,1,0,0,0,1,0,0,0,2,4,2,,tautog,26
jelly fish,0,0,3,0,0,1,2,0,0,0,0,0,6,3,,blue mussel,25
lady crab,1,0,1,0,0,0,0,4,3,2,0,0,11,5,,black sea bass,23
lions mane jellyfish,1,1,2,0,0,0,0,0,0,0,0,0,4,3,,clam,21
long clawed hermit crab,0,0,0,0,0,0,0,0,0,0,28,12,40,1,,ctenophore,20
mantis shrimp,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,unidentified flatfish,20
mole crab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,ribbed mussel,18
moon jelly,0,0,0,83,1,25,0,0,3,22,20,21,175,6,,alewife,17
mud crab,0,0,0,0,0,2,0,0,2,4,0,0,8,3,,skilletfish,14
mud snail,0,0,0,0,0,0,0,0,111,32,38,227,408,3,,oyster toadfish,14
mullet fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,hydrozoa,13
mussel,0,0,0,0,0,0,0,0,10,1,0,0,11,2,,colonial tunicate,11
naked goby,0,0,0,1,0,0,0,0,1,0,0,0,2,2,,mussel,11
needlefish,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,cunner,11
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,0,8,6,,lady crab,11
northern pipefish,1,2,10,5,5,1,1,6,7,4,13,10,65,11,,sandworm,10
northern puffer,0,0,4,0,1,0,0,0,0,0,0,2,7,2,,american eel,9
northern sea robin,0,0,1,0,0,0,0,0,1,0,0,0,2,2,,horseshoe crab,9
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,0,3,3,,mud crab,8
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,northern kingfish,8
oyster drill snail,0,0,0,0,0,1,0,1,1,24,0,0,27,4,,northern puffer,7
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,2,14,8,,white perch,7
periwinkle,0,0,0,0,0,0,0,0,0,0,21,12,33,1,,glass shrimp,6
pin fish,0,0,0,0,0,0,0,2,0,0,0,0,2,1,,jelly fish,6
pollock,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,spotted hake,6
polychaete worm,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,atlantic herring,5
porgy,0,0,0,0,3,0,3,37,13,0,6,2,64,5,,summer flounder,5
red beard sponge,0,0,1,0,0,0,0,0,1,0,0,0,2,2,,lions mane jellyfish,4
ribbed mussel,0,0,0,0,1,0,0,0,0,0,2,15,18,2,,box crab,4
sand shrimp,1,1,8,0,0,0,5,14,1,48,17,37,132,8,,isopod,4
sand worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,needlefish,4
sandworm,0,0,1,0,1,0,0,1,3,2,1,1,10,6,,scud,4
scud,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,wrasel sea bass,3
sculpin,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,unidentified mussel,3
sea robin,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,spot,3
sea squirt,1,1,0,75,88,1,0,0,0,31,0,0,197,6,,striped anchovy,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,spider crab,3
sennet,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,northern seahorse,3
seven spine shrimp,0,0,0,0,32,0,0,0,0,0,0,0,32,1,,red beard sponge,2
sheepshead porgy,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,naked goby,2
shore shrimp,1,1,7,0,0,7,4,7,15,25,58,55,180,9,,windowpane flounder,2
silver perch,0,0,0,0,1,0,0,0,1,6,4,60,72,4,,unidentified sea snail,2
skilletfish,0,0,0,1,1,0,0,0,0,0,4,8,14,3,,sea robin,2
spider crab,0,0,0,1,0,0,0,0,2,0,0,0,3,2,,white mullet,2
spot,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,northern sea robin,2
spotted hake,0,0,0,0,6,0,0,0,0,0,0,0,6,1,,anemone,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,black fingered mud crab,2
striped anchovy,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,polychaete worm,2
striped bass,1,1,7,24,3,2,35,64,16,43,15,8,219,11,,western mosquito fish,2
striped burrfish,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,pin fish,2
striped searobin,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,unidentified snail eggs,1
summer flounder,0,0,1,0,0,1,0,1,1,0,0,1,5,4,,sennet,1
tautog,0,0,0,0,0,0,0,4,1,7,5,9,26,4,,unidentified sponge,1
tube worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,whelk snail,1
tunicate,0,0,0,0,1,0,0,8,34,1,0,0,44,4,,white fingered mud crab,1
undetermined jelly,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,mantis shrimp,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,american shad,1
unidentified flatfish,0,0,2,6,8,0,2,0,0,0,2,0,20,5,,unidentified jelly fish,1
unidentified hermit crab,1,1,2,2,3,1,1,8,1,1,10,0,31,11,,unidentified fish,1
unidentified herring,0,0,0,66,8,0,0,0,0,23,4,8,109,4,,bluespotted cornetfish,1
unidentified jelly fish,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,spotted whiff,1
unidentified mussel,0,0,0,0,0,0,0,0,1,2,0,0,3,2,,sheepshead porgy,1
unidentified sea snail,0,0,0,0,0,0,0,2,0,0,0,0,2,1,,grubby,1
unidentified shrimp,0,0,1,129,26,3,0,0,12,0,0,44,215,5,,seaboard goby,1
unidentified snail,0,1,2,73,22,1,0,6,0,0,0,0,105,6,,mole crab,1
unidentified snail eggs,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,sculpin,1
unidentified sponge,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,sand worm,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,striped burrfish,1
whelk snail,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,northern stargazer,1
white fingered mud crab,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,striped searobin,1
white mullet,0,0,0,0,2,0,0,0,0,0,0,0,2,1,,pollock,1
white perch,0,0,0,1,0,0,0,4,0,0,1,1,7,3,,tube worm,1
windowpane flounder,0,0,0,0,0,0,1,0,1,0,0,0,2,2,,clam worm probably nereis spp,1
winter flounder,1,0,6,0,0,0,4,9,5,9,4,2,40,7,,undetermined jelly,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,0,0,3,1,,hogchoker,1
Total Caught Per Year,17,16,123,1345,664,687,213,1381,1699,921,994,2311,10371,11,,mullet fish,1
