american eel,1
american shad,1
amphipod,
anemone,
asian shore crab,
atlantic menhaden,1
atlantic silverside,1
atlantic tomcod,1
bay anchovy,1
black sea bass,1
blue crab,
bluefish,1
bluespotted cornetfish,1
box crab,
clam,
comb jelly,
cunner,1
flatfish,1
green crab,
grubby,1
hermit crab,
herring,1
horseshoe crab,
hydrozoa,
isopod,
jellyfish,
lady crab,
mole crab,
mud crab,
mullet fish,1
mussel,
naked goby,1
needlefish,1
northern kingfish,1
northern pipefish,1
northern seahorse,1
northern stargazer,1
oyster,
oyster toadfish,1
periwinkle snail,
pollock,1
polychaete worm,
porgy,1
puffer,1
sculpin,1
sea robin,1
sea snail,
seaboard goby,1
sennet,1
shrimp,
silver perch,1
skilletfish,1
spider crab,
sponge,
spot,1
spotted hake,1
spotted whiff,1
striped anchovy,1
striped bass,1
striped burrfish,1
tautog,1
tube worm,
tunicates,
unidentified fish,1
unidentified shrimp,
western mosquito fish,1
white mullet,1
white perch,1
wrasel sea bass,1