Date,Time,Weather (exact air temp):,Water Temp:,DO,pH,Salinity,#of Participants,Instructors/Staff:,Scientific Name,Common Name,Quantity,Other info (Dead/Alive)
5/30/2015,11:35-12:45pm,77 F,68 F,4,7,22,50,"Eliza, Shellita, Kathy Gurland",Morone Saxatilis,Striped Bass,1,Alive
,,,,,,,,,Menidia Menidia,Atlantic Silverside,1,Alive
,,,,,,,,,Unknown,Sea Snail,2,Alive
,,,,,,,,,Palaemonetes,Ghost Shrimp,3,Alive
6/9/2015,12:25,78 F,Not Taken,do 5,pH 7,s 21,20 P,"Nim, Isa, Krista, Anita, Maria M, Maria GM",Morone Saxatilis,Striped Bass,9,Alive
,,,,,,,,,Botryllus Schlosseri,Golden Star Colonial Tunicate,1,Alive
,,,,,,,,,Mytilus edulis,Blue Muscle,1,Alive
6/11/2015,11:10,79 F,Not Taken,4,pH 7,25,25 P,"Nim, Isa, Krista, Anita, Maria M, Darby",Botryllus Schlosseri,colonial tunicate,1,Alive
,,,,,,,,,Morone Saxatilis,striped bass,8,Alive
,,,,,,,,,Hippocampus,pipe fish,1,Alive
,,,,,,,,,Calappa,box crab,1,Alive
,,,,,,,,,Hemagrapsis sanguineus,asian shore crab,6,Alive
6/14/2015,13:22,80 F,20 C,DO 4,7,33,50,"Cynthia, Isa, Shellita, Krista, Anita, Jeannely",Hippocampus,pipe fish,1,Alive
,,,,,,,,,Pseudopleuronectes americanus,winter flounder,1,Alive
,,,,,,,,,Botryllus Schlosseri,colonial tunicate,10 to 15,Alive
,,,,,,,,,Paguroidea,hermit crab,4,Alive
,,,,,,,,,,snails,4,Alive
,,,,,,,,,Morone Saxatilis,striped bass,5,Alive
,,,,,,,,,Tautogolabrus adspersus,cunner,1,Alive
,,,,,,,,,Ovalipes ocellatus,lady crab,2,Alive
,,,,,,,,,Hemagrapsis sanguineus,asian shore crab,16,"6 Alive, 10 dead"
,,,,,,,,,Callinectes sapidus,blue crab,1,Alive
,,,,,,,,,,sponge,1,Alive
,,,,,,,,,,hydra medusa,4,Alive
,,,,,,,,,crangm septiaspinosa,sand shrimp,9,Alive
7/10/2015,10:45 AM,84F,26 C,DO 4,7,36,55,"Shellita,Isa,Nim, Maria,Adrianna,Hawa",Paralichthys dentatus,Summer Flounder,1,Alive
,,,,,,,,,Menidia menidia,Atlantic Silverside,23,Alive
,,,,,,,,,Pseudopleuronectes americanus,Winter flounder,1,Alive
,,,,,,,,,Callinectes sapidus,Blue crab,1,Alive
,,,,,,,,,Calappa,Box crab,1,Alive
,,,,,,,,,Hippocampus,Pip fish,1,Alive
,,,,,,,,,,Seven spine shrimp,1,Alive
,,,,,,,,,Alosa Pseudoharengus,Alewife,9,6 Alive 3 dead
,,,,,,,,,Ctenophora,Comb jelly,1,Alive
7/11/2015,,Not taken,Not taken,DO 4,7,1,28,"Isa,Maria,Cynthia,Kathy",Ovalipes ocellatus,lady crabs,2,Alive
,,,,,,,,,Callinectes sapidus,Blue crabs,2,Alive
,,,,,,,,,Morone saxatilis,Striped Bass (6-8''),5,Alive
,,,,,,,,,Clupea harengus,Atlantic Herring,1,Alive
,,,,,,,,,Paguroidea,Hermit crabs,2,Alive
,,,,,,,,,Menidia menidia,Atlantic Silverside,12,Alive
,,,,,,,,,Crangon septemspinosa,Sand shrimp,2,Alive
,,,,,,,,,,Flounder (right+eye),1,Alive
,,,,,,,,,Hippocampus,Pip fish,,Alive
,,,,,,,,,Morone americana,White perch,4,Alive
,,,,,,,,,Hemigras sanguineus,Asian shore crab,1,Alive
,,,,,,,,,Ctenophor,Comb jelly,1,Alive
,,,,,,,,,,snail,2,Alive
7/13/2015,1:17 PM,Not taken,Not taken,Not taken,not taken,not taken,40,"Nim, Sigrun, Hawa, Jeanneally, Maria",Callinectes sapidus,Blue crab,1,Alive
,,,,,,,,,Hemigras sanguineus,asian shore crab,3,Alive
,,,,,,,,,Clupea harengus,Atlantic Herring,3,Alive
,,,,,,,,,Menidia menidia,Atlantic Silverside,10,Alive
7/28/2015,11:30 AM,90 F,23 C,DO 4,7,29,45,"Nim, Sigrun, Hawa, Jeanneally, Maria",Menidia menidia,Atlantic Silverside,40,Alive// 2 died.
,,,,,,,,,Morone saxatilis,Striped Bass,15,Alive
,,,,,,,,,Pseudopleuronectes americanus,winter flounder,1,Alive
,,,,,,,,,Isopod,Isopod,1,Alive
,,,,,,,,,Ctenophor,Comb jelly,4,Alive
,,,,,,,,,,Seven Spine Shrimp,1,Alive
,,,,,,,,,Hyalella azteca,Scud,4,Alive
,,,,,,,,,Botryllus Schlosseri,Tunicates,8,Alive
8/9/2015,10:15 AM - 12,81 F Sunny,25 C,DO 4,,31,,"Nim,Maria, Anita, Shellita,",Menidia menidia,Atlantic Silverside,140,Alive
,,,,,,,,,Morone saxatilis,Striped Bass,12,Alive
,,,,,,,,,Paguroidea,Hermit crab,2,Alive
,,,,,,,,,Tautoga onitis,Taotog,2,Alive
,,,,,,,,,Hemigras sanguineus,Asian shore crab,4,Alive
,,,,,,,,,Pomatomus saltatrix,Blue fish,1,Alive
,,,,,,,,,Calappa,Box crab,2,Alive
,,,,,,,,,Ctenophor,Comb jellies,20,Alive
,,,,,,,,,,Seven spine shrimp,1,Alive
9/12/2015,2-3:30 PM,78 F Sunny,Not Taken,DO 5,pH 7,Not Taken,45,"Isa, Cynthia, Kathy, Shellita, Nancy, Hillary T",Calamus Pena,Porgy,23,Alive
,,,,,,,,,Menidia Menidia,Atlantic Silverside,201,Alive
,,,,,,,,,Syngnathus Fuscus,Northern Pipefish,2,Alive
,,,,,,,,,Callinectes sapidus,Blue Crab,1,Male/Alive
,,,,,,,,,Palaemonetes,Common Shore Shrimp,1,Alive
,,,,,,,,,Pleuronectes Americanus,Winter flounder,2,Alive
,,,,,,,,,Fistularia commersonii,Bluespotted Cornetfish,1,Alive 
,,,,,,,,,Ctenophora,Comb Jelly ,2,Alive
,,,,,,,,,Hemigraspus sanguineus,Asian shore crab,2,Alive 
9/25/2015,10:00-1:00 PM,70 F Sunny,Not taken,4 PPM,7,22,70,"Isa, Nim, Shellita, Beth, Andrew, Shawn, Chris, Jordan",Menidia Menidia,Atlantic Silverside,73,Alive
,,,,,,,,,Callinectes sapidus,Blue Crab,1,Alive
,,,,,,,,,Ctenophora,Comb Jelly,2,Alive
,,,,,,,,,Pomatomus saltatrix,Blue Fish,1,Alive
,,,,,,,,,Tautoga onitis,Tautog/Blackfish,1,Alive
,,,,,,,,,Hemigraspus sanguineus,Asian shore crab,8,Alive
,,,,,,,,,Urosalpinx cinerea,Oyster Drill,1,Alive
,,,,,,,,,Brevoortia  tyrannus,Menhaden,5,Alive
10/15/2015,4-6 PM,64 F,66 F,4,7,30,31,"Isa, Shellita, Kathy Nolan",Pleuronectes Americanus,Winter Flounder (right+eye),3,Alive
,,,,,,,,,Tautoga onitis,Blackfish/ Tautog ,1,Alive
,,,,,,,,,Morone saxatilis,Striped Bass ,1,Alive 
,,,,,,,,,Ctenophora,Comb Jelly,6,Alive 
,,,,,,,,,Palaemonetes,Common Shore Shrimp,1,ALive
,,,,,,,,,Calamus penna,Sheepshead Porgy,1,Alive
,,,,,,,,,Mytilus edulis,Blue Mussel,8,Alive 